model,accuracy,precision,recall,f1
Linear SVM,0.9049338146811071,0.8701298701298701,0.8729641693811075,0.8715447154471545
Logistic Regression,0.8977135980746089,0.926923076923077,0.7850162866449512,0.8500881834215167
Naive Bayes,0.8856799037304453,0.8581081081081081,0.8273615635179153,0.8424543946932007
Decision Tree,0.8880866425992779,0.9212598425196851,0.762214983713355,0.8342245989304813
Random Forest,0.8904933814681107,0.9695652173913043,0.7263843648208469,0.8305400372439479
