model,accuracy,precision,recall,f1
Logistic Regression,0.9385593220338984,0.9726027397260274,0.902542372881356,0.9362637362637363
Linear SVM,0.9322033898305084,0.9594594594594594,0.902542372881356,0.9301310043668122
Naive Bayes,0.9279661016949152,0.9279661016949152,0.9279661016949152,0.9279661016949152
Random Forest,0.9279661016949152,0.9855769230769231,0.8686440677966102,0.9234234234234234
Decision Tree,0.9173728813559322,0.9804878048780488,0.8516949152542372,0.9115646258503401
